Local time in New York / La Guardia (airport),T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
01.01.2019 22:00,6.1,764.5,765.4,1.8,56,Wind blowing from the north-northwest,5,,,70 – 80%., ,,,,,,,1000-1500,,,16,-2.2,,,,,,
01.01.2019 19:00,6.7,762.7,763.8,2.2,60,Wind blowing from the north-west,8,14,,70 – 80%., ,,,6.7,15.6,,,1000-1500,,,16,-0.6,,,,,,
01.01.2019 16:00,8.9,760.5,761.4,4.9,52,Wind blowing from the north-west,12,14,,70 – 80%., ,,,,,,,1000-1500,,,16,-0.6,,,,,,
01.01.2019 13:00,12.2,755.6,756.6,2.2,51,Wind blowing from the north-west,9,13,,70 – 80%., ,,,6.1,15.6,,,1000-1500,,,16,2.2,,,,,,
01.01.2019 10:00,15.6,753.4,754.4,2.4,62,Wind blowing from the west,11,15,,70 – 80%., ,,,,,,,600-1000,,,16,8.3,,,,,,
01.01.2019 07:00,14.4,751,752.2,-0.3,81,Wind blowing from the west-southwest,8,12,,70 – 80%., ,,,6.7,14.4,,,300-600,,,16,11.1,0.5,6,,,,
01.01.2019 04:00,12.2,751.3,752.3,-3.3,93,Wind blowing from the west-southwest,7,,,100%.,Mist. ,,,,,,,100-200,,,4.8,11.1,0.5,3,,,,
01.01.2019 01:00,8.3,754.6,755.5,-4.8,97,"Calm, no wind",0,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,8.3,,,100-200,,,6,7.8,29,6,,,,
31.12.2018 22:00,7.8,759.4,760.5,-4.8,89,Wind blowing from the east-southeast,6,,,100%.,"Rain, not freezing, continuous, moderate at time of observation. ",,,,,,,200-300,,,8,6.1,18,3,,,,
31.12.2018 19:00,6.7,764.2,765.1,-2.6,89,Wind blowing from the south-east,4,,,100%.,"Rain, not freezing, continuous, moderate at time of observation. ",,,2.2,7.2,,,200-300,,,8,5,6,6,,,,
31.12.2018 16:00,6.7,766.8,767.7,-1.6,79,Wind blowing from the south-southeast,3,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",,,,,,,600-1000,,,14,3.3,1,3,,,,
31.12.2018 13:00,7.2,768.4,769.2,-2,66,Wind blowing from the south,5,,,100%., ,,,1.7,7.2,,,600-1000,,,16,1.1,,,,,,
31.12.2018 10:00,5.6,770.4,771.4,0.5,73,,2,,,100%., ,,,,,,,600-1000,,,16,1.1,,,,,,
31.12.2018 07:00,2.2,769.9,770.9,0.8,93,Wind blowing from the north-east,3,,,70 – 80%., ,,,1.7,4.4,,,600-1000,,,16,1.1,,,,,,
